file_id;speaker_name;speaker_party;speech_text;jaar;date;kamer;category;title;url;meta_url;vergadernummer;standardized_name;speech_text_en;final_label
h-tk-20142015-30-6;Mevrouw Schouten;CU;Uit de brief van de staatssecretaris begreep ik dat het een verschil moest zijn tussen de 20 en de 38 dollar en dat daar de overbrugging zat. Ik vraag de staatssecretaris of zij zelf mogelijkheden ziet voor de begroting voor 2016.;2014-2015;27-11-2014;tk;handelingen;6 Begroting Sociale Zaken en Werkgelegenheid;https://zoek.officielebekendmakingen.nl/h-tk-20142015-30-6.html;https://zoek.officielebekendmakingen.nl/h-tk-20142015-30-6.xml;nr. 30, item 6;schouten;From the letter from the State Secretary I understood that it had to be a difference between 20 and 38 dollars and that that was the bridge. I ask the State Secretary whether she sees possibilities for the 2016 budget.;0
h-tk-20142015-50-8;Staatssecretaris Van Rijn;PvdA;"In de motie-Pia Dijkstra op stuk nr. 118 worden wij gevraagd om samen met belangenbehartigers van pgb-houders in overleg te treden met als doel om maatwerk in de systemen mogelijk te maken. Die beschouw ik, gelet op het debat dat ik gevoerd heb, als ondersteuning van beleid. Ik laat het oordeel daarover aan de Kamer.
In de motie-Ellemeet/Pia Dijkstra op stuk nr. 119 worden wij verzocht de komende drie maanden ingediende declaraties uit te keren zonder deze te toetsen aan de zorgovereenkomst. Ik geef weer even een interpretatie. Ik neem aan dat het verzoek is om de komende drie maanden declaraties die adequaat zijn ingediend gewoon uit te keren indien er geen sprake is van een zorgovereenkomst. Ik neem aan dat mevrouw Ellemeet niet zegt ""ga ze nou maar betalen"", terwijl er wel een zorgovereenkomst is. Als die er is, kun je gewoon op basis daarvan betalen, maar als die er niet is, moet er ook gewoon betaald worden. Als ik de motie zo, in gewijzigde vorm, mag interpreteren, dan wil ik het oordeel erover aan de Kamer laten.";2014-2015;4-2-2015;tk;handelingen;8 Noodscenario's voor pgb-houders;https://zoek.officielebekendmakingen.nl/h-tk-20142015-50-8.html;https://zoek.officielebekendmakingen.nl/h-tk-20142015-50-8.xml;nr. 50, item 8;van van rijn;"In the Pia Dijkstra motion on document no. 118, we are asked to enter into consultation with representatives of personal budget holders with the aim of making customization possible in the systems. In view of the debate I have had, I regard this as support for policy. I leave the decision on this to the House.
In the Ellemeet/Pia Dijkstra motion on document no. 119, we are requested to pay out claims submitted over the next three months without testing them against the care agreement. Let me give you another interpretation. I assume that the request is to simply pay out claims that have been adequately submitted for the next three months if there is no care agreement. I assume that Mrs. Ellemeet does not say ""just pay them"", even though there is a care agreement. If there is, you can simply pay based on that, but if there is not, payment must also be made. If I may interpret the motion this way, in amended form, then I would like to leave the decision to the House.";0
h-tk-20142015-12-4;Mevrouw Schouten;CU;Ik heb nog een vraag over het puntje waarom het bij wet en het niet in de cao wordt geregeld. Ik had gevraagd om een wat diepere beschouwing op de motivatie daarachter. We hebben vooral veel getallen gekregen over de manier waarop het in de cao is geregeld. Het lid Van Hijum heeft ooit, toen er in 2008 een voorstel lag om de schooltijdbanen wettelijk te regelen, gezegd: dat is een sympathiek idee, maar de CDA-fractie ziet niet waarom hier een wetswijziging voor nodig is en mijn fractie wil dat dit soort zaken in de cao wordt geregeld. Wat is de wijziging van inzicht tussen de indiener Van Hijum nu en het lid Van Hijum dat destijds deze uitspraak deed?;2014-2015;9-10-2014;tk;handelingen;4 Bevorderen flexibel werken;https://zoek.officielebekendmakingen.nl/h-tk-20142015-12-4.html;https://zoek.officielebekendmakingen.nl/h-tk-20142015-12-4.xml;nr. 12, item 4;schouten;I still have a question about why it is regulated by law and not in the collective labor agreement. I had asked for a more in-depth look at the motivation behind this. We have mainly received a lot of figures about the way in which it is arranged in the collective labor agreement. Member Van Hijum once said, when there was a proposal in 2008 to legally regulate school-time jobs: that is a nice idea, but the CDA faction does not see why a change in the law is necessary for this and my group wants these kinds of matters to be regulated in the collective labor agreement. What is the change of opinion between the petitioner Van Hijum now and the member Van Hijum who made this statement at the time?;0
h-tk-20142015-23-6;Staatssecretaris Dijksma;PvdA;Nu wordt het lastig om te begrijpen wat de Kamer wil. Eerst vraagt de Kamer, ook de heer Schouw: waarom kiest u nu niet alvast, want dan kunnen we het gewoon regelen. Ik zeg dat wij moeten bekijken wat een verstandig voorstel is en dat ik dat dan hier neerleg. Vervolgens kan de Kamer ook zeggen dat ze het geen verstandig voorstel vindt en dat ze liever iets anders wil. Dan volg ik de Kamer uiteraard. Als ik met meerdere opties zou komen — dat kan — zou dat impliceren dat het voorstel pas helder wordt, als de Kamer heeft gestemd. Dat is sowieso zo, maar in dit geval is dat dan geen kabinetsvoorstel. Dan zou ik moeten zeggen: 50 kan, 80 kan. Mijnheer Schouw, in hoeverre zijn wij op dat moment verder dan nu?;2014-2015;12-11-2014;tk;handelingen;6 Verantwoorde groei melkveehouderij;https://zoek.officielebekendmakingen.nl/h-tk-20142015-23-6.html;https://zoek.officielebekendmakingen.nl/h-tk-20142015-23-6.xml;nr. 23, item 6;dijksma;Now it is becoming difficult to understand what the House wants. First the House, including Mr Schouw, asks: why don't you choose now, because then we can simply arrange it. I say that we should consider what a sensible proposal is and then I will put it here. The House can then also say that it does not think it is a sensible proposal and that it would prefer something else. Then of course I will follow the House. If I were to come up with multiple options - which is possible - it would imply that the proposal only becomes clear once the House has voted. That is certainly the case, but in this case it is not a government proposal. Then I would have to say: 50 can, 80 can. Mr Schouw, to what extent have we progressed at that point compared to now?;0
h-tk-20142015-72-29;De heer Van Oosten;VVD;"Ik ga toch nog even terug naar de oorsprong van dit wetsvoorstel: de samenleving zou die kosten niet moeten dragen. Dat beginsel deelt mevrouw Kooiman. Het blijkt, zoals ik net voorlas uit de memorie van toelichting — ik neem aan dat dat de juiste cijfers zijn — dat meer dan 80% van de gedetineerden na de gevangenisstraf op enig moment over een baan beschikt. Laten we die veronderstelling even volgen; het mag wat mij betreft ook een lager percentage zijn. Als je inkomen hebt, dan mag je daarvan toch iets betalen? Wat is daar mis mee?";2014-2015;7-4-2015;tk;handelingen;29 Eigen bijdragen veroordeelden;https://zoek.officielebekendmakingen.nl/h-tk-20142015-72-29.html;https://zoek.officielebekendmakingen.nl/h-tk-20142015-72-29.xml;nr. 72, item 29;van van oosten;"I will go back to the origins of this bill: society should not have to bear those costs. Mrs Kooiman shares that principle. It turns out, as I just read from the explanatory memorandum — I assume those are the correct figures — that more than 80% of prisoners have a job at some point after their prison sentence. Let's follow that assumption for a moment; In my opinion it could also be a lower percentage. If you have income, you can pay some of it, right? What's wrong with that?";0
h-tk-20142015-22-26;Minister Hennis-Plasschaert;VVD;Natuurlijk zijn er meer mensen die leiding hadden kunnen geven aan de taskforce. Wij hebben voor deze persoon gekozen omdat wij wisten dat de betrokken commodore direct beschikbaar was en omdat wij op dat moment ook echt iemand nodig hadden die mee wilde denken, creatief wilde zijn en die de trigger wilde zijn om het team nog breder te laten nadenken over de vraag waar ze in de organisatie kon zoeken. De betrokken commodore was daarvoor de aangewezen persoon. Nogmaals, ik vraag me inmiddels af of de betrokken commodore zijn werk nog wil voortzetten. Los daarvan beschuldig ik de Kamer helemaal niet van het feit dat zij de integriteit van de commodore ter discussie stelt. Dat woord heb ik ook niet in de mond genomen. Er zaten wel enkele leden hoog in de boom naar aanleiding van een televisie-uitzending. Dat heb ik pijnlijk gevonden, omdat het onderzoek juist zo zorgvuldig werd opgezet. Er werd duidelijk gemaakt hoe wij het onderzoek opzetten, wat het historisch onderzoek betekent, namelijk dat alle documenten op tafel komen, en wat het RIVM doet enzovoort. Daarover heb ik de Kamer herhaaldelijk geïnformeerd. Ik vond het opvallend en vervelend dat de Kamer zo reageerde. Dat kan ik niet ontkennen. Ik verwijt de Kamer echter niet dat zij de integriteit van betrokkene in twijfel trekt. Dat is niet zo.;2014-2015;11-11-2014;tk;handelingen;26 Onderzoek giftige stoffen bij Defensie;https://zoek.officielebekendmakingen.nl/h-tk-20142015-22-26.html;https://zoek.officielebekendmakingen.nl/h-tk-20142015-22-26.xml;nr. 22, item 26;hennis-plasschaert;Of course, there are more people who could have led the task force. We chose this person because we knew that the commodore involved was immediately available and because at that moment we really needed someone who wanted to think along, be creative and who wanted to be the trigger to get the team to think even more broadly about where they could look in the organization. The commodore involved was the appropriate person for this. Once again, I now wonder whether the commodore involved still wants to continue his work. Apart from that, I do not accuse the House at all of questioning the integrity of the commodore. I didn't say that word either. There were some members high up in the tree following a television broadcast. I found that painful, because the research was designed so carefully. It was made clear how we set up the research, what the historical research means, namely that all documents are presented, and what the RIVM does, etc. I have repeatedly informed the House about this. I found it striking and annoying that the House reacted this way. I can't deny that. However, I do not blame the House for questioning the integrity of the person concerned. That's not true.;0
h-tk-20142015-37-19;De heer Omtzigt;CDA;Nee, als niet tot besteding is gekomen, is er niet mee gesmeten. Maar er is wel gezegd: we gaan het uitgeven. Kennelijk waren er op dat moment onvoldoende plannen beschikbaar om te bedenken hoe we het gaan uitgeven.;2014-2015;16-12-2014;tk;handelingen;19 Najaarsnota 2014;https://zoek.officielebekendmakingen.nl/h-tk-20142015-37-19.html;https://zoek.officielebekendmakingen.nl/h-tk-20142015-37-19.xml;nr. 37, item 19;omtzigt;No, if it has not been spent, it has not been thrown away. But it has been said: we are going to spend it. Apparently there were insufficient plans available at that time to figure out how we were going to spend it.;0
h-tk-20142015-89-10;De heer Schouw;D66;"Ik stel vast dat de VVD-fractie iets anders vindt dan een heel grote meerderheid in de Kamer. Dat dit wordt gekwalificeerd als ""onderbuik"" vind ik jammer. Ik had dat liever anders gehad. Misschien zit er muziek in voor de toekomst.
Mijn fractie is het geheel en al eens met de doelen die het kabinet op dit front heeft: transitie en vergroening. Staatssecretaris Mansveld had het ook over de circulaire economie. Dat vind ik hartstikke goed. Mijn fractie is overtuigd van de activistische houding ten aanzien van dit dossier, zoals staatssecretaris Dijksma die noemde. Heel goed. Chapeau. Volle complimenten. Ik snap heel goed dat vanwege procedurele en juridische kwesties het doel niet in één klap te bereiken is. De winst van vanmiddag is dat de richting volgens mij glashelder is, te beginnen bij de inzet op een herbeoordeling van het verbod op neonics en glyfosaat. Daar gaan wij niet over, instanties wel, maar de inzet van het kabinet is helder, waarvoor dank.
Ik zie dadelijk nog even toe op het antwoord van staatssecretaris Mansveld over de zuiveringsinstallatie. Dat vind ik belangrijk. We moeten nog even naar de laatste inbreng luisteren, maar volgens mij is het unieke aan dit debat dat de partijen tot nu toe als uiting van commitment hebben gezegd: laten we het kabinet niet verder opjagen, want we zijn het met elkaar eens, dus moties zijn overbodig.";2014-2015;28-5-2015;tk;handelingen;10 Roundup en bijengif;https://zoek.officielebekendmakingen.nl/h-tk-20142015-89-10.html;https://zoek.officielebekendmakingen.nl/h-tk-20142015-89-10.xml;nr. 89, item 10;schouw;"I note that the VVD faction believes in something other than a very large majority in the House. I think it's a shame that this is qualified as ""underbelly"". I would have preferred it differently. Maybe there is music in it for the future.
My group fully agrees with the government's goals on this front: transition and greening. State Secretary Mansveld also talked about the circular economy. I think that's really good. My group is convinced of the activist attitude towards this file, as State Secretary Dijksma called it. Very good. Cheers. Full compliments. I understand very well that due to procedural and legal issues the goal cannot be achieved in one fell swoop. The benefit of this afternoon is that I think the direction is crystal clear, starting with the commitment to a reassessment of the ban on neonics and glyphosate. We are not about that, institutions are, but the government's commitment is clear, for which we thank you.
I will shortly look at State Secretary Mansveld's answer about the purification plant. I think that's important. We still have to listen to the latest input, but I think what is unique about this debate is that the parties have so far said as an expression of commitment: let us not push the cabinet further, because we agree with each other, so motions are unnecessary.";0
h-tk-20142015-56-8;De heer Van Haersma Buma;CDA;"Dat was weer een interessant debat, want de minister kan altijd zeggen dat hij het als minister van Financiën zei en niet als voorzitter van de eurogroep. Dit trojka-verhaal is dus op te lossen.
Ik heb de volgende vraag. De Griekse regering heeft een aantal voorstellen gedaan. De minister gaf dat helder weer. Hoe verhouden die zich tot de uitbetaling van 7 miljard?";2014-2015;25-2-2015;tk;handelingen;8 Europese top en steunmaatregelen aan Griekenland;https://zoek.officielebekendmakingen.nl/h-tk-20142015-56-8.html;https://zoek.officielebekendmakingen.nl/h-tk-20142015-56-8.xml;nr. 56, item 8;van van haersma buma;"That was another interesting debate, because the minister can always say that he said it as Minister of Finance and not as President of the Eurogroup. So this troika story can be solved.
I have the following question. The Greek government has made a number of proposals. The minister stated this clearly. How do they compare to the 7 billion payout?";0
h-tk-20142015-19-21;Mevrouw Schouten;CU;Ik had dezelfde vraag aan de heer Van Meenen, omdat ik ook verwees naar een motie die de heer Dijkgraaf en ik op dit punt hebben ingediend.;2014-2015;4-11-2014;tk;handelingen;21 Wet studievoorschot hoger onderwijs;https://zoek.officielebekendmakingen.nl/h-tk-20142015-19-21.html;https://zoek.officielebekendmakingen.nl/h-tk-20142015-19-21.xml;nr. 19, item 21;schouten;I had the same question for Mr Van Meenen, because I also referred to a motion that Mr Dijkgraaf and I submitted on this point.;0
